Model,Resampler,Accuracy,Precision,Recall,F1 Score,AUC-ROC
AdaBoost,RandomUndersampling,0.6396396396396397,0.8068181818181818,0.6396396396396397,0.7135678391959798,0.674209092813744
SVM,RandomUndersampling,0.7117117117117117,0.8586956521739131,0.7117117117117117,0.7783251231527094,0.4615545778336476
LDA,RandomUndersampling,0.6216216216216216,0.7931034482758621,0.6216216216216216,0.696969696969697,
Random Forest,RandomUndersampling,0.7027027027027027,0.8297872340425532,0.7027027027027027,0.7609756097560975,0.71024512884978
Voting Classifier,RandomUndersampling,0.6126126126126126,0.8717948717948718,0.6126126126126126,0.7195767195767196,
AdaBoost with PCA,RandomUndersampling,0.6486486486486487,0.8571428571428571,0.6486486486486487,0.7384615384615384,0.7791745233605699
SVM with PCA,RandomUndersampling,0.8018018018018018,0.8811881188118812,0.8018018018018018,0.8396226415094339,0.8571129268803687
LDA with PCA,RandomUndersampling,0.8108108108108109,0.8910891089108911,0.8108108108108109,0.8490566037735849,
Random Forest with PCA,RandomUndersampling,0.6396396396396397,0.8658536585365854,0.6396396396396397,0.7357512953367876,0.7634611355541588
Voting Classifier with PCA,RandomUndersampling,0.7927927927927928,0.88,0.7927927927927928,0.8341232227488151,0.8535512256442489
AdaBoost,ROS,0.9009009009009008,0.8064516129032258,0.9009009009009008,0.851063829787234,0.8089252042740416
SVM,ROS,0.945945945945946,0.7894736842105263,0.945945945945946,0.8606557377049181,0.8146867798030588
LDA,ROS,0.8018018018018018,0.8165137614678899,0.8018018018018018,0.8090909090909092,
Random Forest,ROS,0.918918918918919,0.7786259541984732,0.918918918918919,0.8429752066115701,0.7546616383825686
Voting Classifier,ROS,0.9009009009009008,0.8,0.9009009009009008,0.8474576271186441,
AdaBoost with PCA,ROS,0.8288288288288288,0.8440366972477065,0.8288288288288288,0.8363636363636363,0.7967735177037503
SVM with PCA,ROS,0.8828828828828829,0.8448275862068966,0.8828828828828829,0.8634361233480176,0.8066205740624346
LDA with PCA,ROS,0.8108108108108109,0.8737864077669902,0.8108108108108109,0.8411214953271028,
Random Forest with PCA,ROS,0.9369369369369368,0.7878787878787878,0.9369369369369368,0.8559670781893004,0.8003352189398701
Voting Classifier with PCA,ROS,0.8918918918918919,0.8608695652173913,0.8918918918918919,0.8761061946902654,0.8707311963125917
AdaBoost,SMOTE,0.8288288288288288,0.8214285714285714,0.8288288288288288,0.8251121076233183,0.7684894196522103
SVM,SMOTE,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.8108108108108109,0.706892939451079
LDA,SMOTE,0.4864864864864865,0.7105263157894737,0.4864864864864865,0.5775401069518716,
Random Forest,SMOTE,0.918918918918919,0.8031496062992126,0.918918918918919,0.8571428571428572,0.7455478734548502
Voting Classifier,SMOTE,0.7837837837837838,0.8285714285714286,0.7837837837837838,0.8055555555555555,
AdaBoost with PCA,SMOTE,0.8108108108108109,0.8411214953271028,0.8108108108108109,0.8256880733944955,0.7900691389063482
SVM with PCA,SMOTE,0.8648648648648649,0.8571428571428571,0.8648648648648649,0.8609865470852017,0.8114393463230672
LDA with PCA,SMOTE,0.7927927927927928,0.8712871287128713,0.7927927927927928,0.8301886792452831,
Random Forest with PCA,SMOTE,0.8828828828828829,0.8099173553719008,0.8828828828828829,0.8448275862068966,0.8062015503875969
Voting Classifier with PCA,SMOTE,0.8198198198198198,0.900990099009901,0.8198198198198198,0.8584905660377359,
AdaBoost,Baseline,0.927927927927928,0.7803030303030303,0.927927927927928,0.8477366255144033,0.7251204693065159
SVM,Baseline,0.945945945945946,0.7894736842105263,0.945945945945946,0.8606557377049181,0.816781898177247
LDA,Baseline,0.8198198198198198,0.8272727272727273,0.8198198198198198,0.8235294117647058,
Random Forest,Baseline,0.945945945945946,0.7446808510638298,0.945945945945946,0.8333333333333334,0.6968363712549759
Voting Classifier,Baseline,0.918918918918919,0.7906976744186046,0.918918918918919,0.85,
AdaBoost with PCA,Baseline,0.8558558558558559,0.811965811965812,0.8558558558558559,0.8333333333333335,0.7844123192960403
SVM with PCA,Baseline,0.8828828828828829,0.8235294117647058,0.8828828828828829,0.8521739130434782,0.849989524408129
LDA with PCA,Baseline,0.918918918918919,0.8360655737704918,0.918918918918919,0.8755364806866953,
Random Forest with PCA,Baseline,0.990990990990991,0.7432432432432432,0.990990990990991,0.8494208494208495,0.7370626440393883
Voting Classifier with PCA,Baseline,0.9369369369369368,0.8253968253968254,0.9369369369369368,0.8776371308016877,
