Model,Resampler,Accuracy,Precision,Recall,F1 Score,AUC-ROC
logreg,RandomUndersampling,0.666675154910449,0.4404948646125117,0.641860465116279,0.520219211396989,0.6590857479288448
RF,RandomUndersampling,0.6471776589423648,0.4178726904967651,0.6511627906976745,0.5086197057061872,0.6483662054754196
XGB,RandomUndersampling,0.66937441643324,0.44532539603511123,0.6837209302325581,0.5377470155892772,0.6736868665629336
bagging,RandomUndersampling,0.5924879042526101,0.37974688057040995,0.7069767441860465,0.49323423824563717,0.6274485890912149
LGB,RandomUndersampling,0.6758169934640523,0.45052474937343356,0.6883720930232557,0.5433764775986532,0.6796290844863114
KNN,RandomUndersampling,0.6353874883286649,0.40474669137970276,0.6139534883720931,0.4866332238273071,0.6288573951806216
SVC,RandomUndersampling,0.7069688481453188,0.4853991664512794,0.7069767441860465,0.574204763439375,0.7070145927078515
GNB,RandomUndersampling,0.46834733893557423,0.3215028162994658,0.5953488372093023,0.30765020152254197,0.5074393372303293
stack,RandomUndersampling,0.5781257957728545,0.20895752895752895,0.1813953488372093,0.19353550441225606,0.4568821228815342
logreg,ROS,0.6966301672184024,0.47349554659899484,0.6093023255813954,0.5307393180808438,0.66993145212162
RF,ROS,0.7591630591630592,0.6318044274566013,0.3441860465116279,0.4440155590989945,0.6323100214474957
XGB,ROS,0.7734487734487734,0.6492277992277992,0.4279069767441861,0.5134915288834455,0.6678413726397241
bagging,ROS,0.7031406501994738,0.46580002189250785,0.4418604651162791,0.4528074644893406,0.6232810463013583
LGB,ROS,0.7617180205415499,0.6117557746246494,0.41395348837209306,0.48964851125635434,0.6554396736616341
KNN,ROS,0.7134453781512605,0.49308972431896014,0.455813953488372,0.4692081137616583,0.634778586147441
SVC,ROS,0.7434852728970376,0.5457439615976201,0.5116279069767442,0.5275598370676243,0.6726313133437066
GNB,ROS,0.31511756217638576,0.28320961896304364,0.9441860465116279,0.4356848855435437,0.507355229404096
stack,ROS,0.7331041507512096,0.5768555828555828,0.26046511627906976,0.3387416505063564,0.5886412380672021
logreg,SMOTE,0.6745098039215687,0.44670008354218876,0.6232558139534883,0.5180232040314074,0.6588250136675217
RF,SMOTE,0.7513368983957219,0.578961038961039,0.4186046511627907,0.48518826340551213,0.649627822868918
XGB,SMOTE,0.7708513708513708,0.6165900383141762,0.49767441860465117,0.5474495121278544,0.6873543883258336
bagging,SMOTE,0.6927765045412103,0.4644048583216385,0.5441860465116279,0.5001996974469887,0.6473190630388158
LGB,SMOTE,0.7695187165775401,0.6148687333931921,0.4790697674418604,0.5341429670338209,0.6807645401404601
KNN,SMOTE,0.6418130888719125,0.4180960256747276,0.7023255813953488,0.5228310425558133,0.6603852138441482
SVC,SMOTE,0.7473983532807063,0.5526171228995362,0.5162790697674419,0.5332190619138409,0.6767652130030699
GNB,SMOTE,0.31511756217638576,0.28320961896304364,0.9441860465116279,0.4356848855435437,0.507355229404096
stack,SMOTE,0.7525761819879466,0.6012428546059294,0.41395348837209306,0.4759021489006362,0.6491105597375836
logreg,Baseline,0.740862405568288,0.5480722711952295,0.29767441860465116,0.3728559983133038,0.6054375709659784
RF,Baseline,0.7474238180120534,0.7040510366826156,0.18604651162790697,0.2906839514264955,0.575844232305816
XGB,Baseline,0.777336389101095,0.69406432748538,0.37674418604651166,0.4841335156421317,0.6549182051389881
bagging,Baseline,0.71484593837535,0.49242203548085894,0.3395348837209302,0.40014594301066675,0.6001471886959082
LGB,Baseline,0.7656395891690009,0.6479604284545034,0.372093023255814,0.46645559622820326,0.6453593506875814
KNN,Baseline,0.7134453781512605,0.49308972431896014,0.455813953488372,0.4692081137616583,0.634778586147441
SVC,Baseline,0.7460911637382226,0.5504228080263914,0.5162790697674419,0.5318630075858991,0.6758610538710628
GNB,Baseline,0.7200492318139377,0.0,0.0,0.0,0.5
stack,Baseline,0.7135472370766489,0.4,0.027906976744186046,0.051156462585034014,0.5040077379200135
