Sample_Name,ANXA3,AQP9,ARG1,ASAH1,ATG3,AZU1,BCAT1,BCL2L11,BCL6,BMPR2,BPGM,BTK,BTN2A2,BTN3A2,BUB3,CAMK4,CAMP,CASP1,CASP8,CCNB1IP1,CD3E,CD3G,CEACAM8,CEP55,CREB1,CRISP2,CTNNB1,CTSG,DBT,DEFA4,DYRK2,EP300,FAS,GADD45A,GK,GNAI3,HMMR,HTRA1,ICAM3,INPP5D,ITGAV,JAK1,JAK2,KIF15,KLHL2,KLRB1,LCN2,LTF,MAFB,MAP3K1,MAP3K3,MAP4K1,MAPK14,MME,NCR3,OLFM4,ORM1,PAK2,PDE4B,PIK3CD,PIK3R1,PLCG1,PLEKHO1,POU2F2,PPP1R12A,PPP2R5C,PRC1,PRKAR1A,PTEN,RAF1,RHBDF2,SEMA4F,SEMA6B,SIDT1,SLC1A5,SLPI,SMAD4,SMYD2,SOS 2,SP1,STOM,STX1A,TBK1,TLE4,TLR1,TP53BP1,TRIB2,TXN,TYK2,VAMP5,VRK2,ZAP70,ZDHHC17
CAP0127,-7.899150575,5.337359772,-7.586525183,-1.62973116,798.4167577,9.448144856,1.626134111,-148.8879975,-12.97004072,-10.82188397,19.9836111,-2.129680731,-190.5640996,179.5966057,-106.5139677,-1.289870059,29.66478832,-256.0123793,0.372848594,176.4254559,38.2750475,21.038967,9.178241386,-400.4454431,-10.23034752,-160.0859474,-37.80508041,14.5938269,4.41459319,20.8837022,222.3965774,48.69271354,-3.456933065,-60.54637371,-56.35643016,-87.67663517,-104.8283713,-38.6601328,69.72769027,-63.99982326,38.68880786,64.38817741,-93.34807165,-324.7584407,-496.9271814,246.7415527,17.72326584,69.01192529,-38.50389284,-115.3659146,6.993420514,285.1028454,-42.93899576,151.3170926,1313.280572,37.79251175,21.84332896,-76.33642424,56.10916543,121.6655696,71.44480352,186.3445225,440.5257796,137.8252187,-227.2368996,-100.022896,-107.9515003,-126.2323903,-144.1179967,73.5186924,-264.1324334,83.32813326,-249.3735444,283.7074703,-94.33388947,-18.90457519,87.75573711,182.9495198,-40.01079514,2.495387887,-67.57218969,-186.6498235,-119.4402198,99.90421052,-425.7913229,194.0143985,730.2594521,-68.64854437,114.852859,-94.70636558,-224.309269,107.4774042,178.7600208
CAP0128,19.03859131,22.88196469,15.92978725,11.92938347,1571.814533,-13.67074307,-15.64051449,-154.9713665,23.39601431,12.10211174,25.72781182,35.35830457,-160.7521241,372.5240435,-195.2912828,-10.51414143,3.361535032,496.4001147,21.2830193,-635.8323202,-26.04178723,-30.04505638,-10.15879417,-27.46061992,-11.85827746,-262.7513005,2.92524228,-41.65592294,12.03160492,-62.95221084,-142.0969392,63.16603148,18.85821709,63.36778202,189.3515096,72.49575588,-69.02545994,-256.1189038,1.685642857,29.4886917,-42.10533489,64.68773076,127.169575,-755.5227183,30.08532415,-9.477218038,113.5468336,134.7980002,-131.928482,-45.3028669,41.34649468,-402.3935383,55.19705144,-196.7603834,-794.9097389,36.43582815,-246.8112904,48.47765985,186.8082013,122.7378435,139.0647446,-71.071297,-195.7465448,-269.0818746,-16.10840753,118.0368927,-177.755584,115.4862826,121.0570411,-60.98993171,888.486127,-271.415815,117.054135,-385.8909202,-274.8021016,-65.05180841,119.266182,-236.2378665,216.9241749,108.8923657,59.10004868,-225.8256178,294.7886925,136.1791758,-64.71748404,-50.30011168,-345.3153705,210.2666095,-8.993328784,279.3705221,72.33147613,-200.2698175,313.8711033
CAP0129,8.774667768,18.43168464,9.765711553,10.65069885,973.450514,-9.747108958,0.952635927,8.970307303,19.44407988,-12.98314567,27.08095878,-2.415185879,146.8878805,164.3051734,-276.7294066,11.40869211,-16.30256896,125.9644037,26.56636586,296.5496487,14.96697455,25.45810237,-22.09242577,-251.3062165,-5.390506709,-277.9327175,6.071084117,-25.41765203,-5.163666005,-22.7877048,232.4243351,71.84894561,10.83097405,34.94139144,131.2001821,71.71592526,-53.70387671,-187.5501742,-65.4816657,11.06862635,-155.7141687,66.23081937,49.41746324,-343.1222291,25.90264466,-49.5511638,-68.14275175,-89.42906057,-43.15315818,26.79732439,41.47310636,167.3652093,20.48747734,66.6678649,-391.8775339,-137.9566381,105.1036206,-31.53091173,198.5131359,98.26508574,92.22199598,182.2570251,17.59253122,7.242819355,-124.928454,77.90192299,-22.8101036,15.95199099,180.8698103,63.66027771,528.906309,-50.76982016,-203.5739004,-195.807631,-218.2633918,-88.40517668,121.7424175,0.781680068,133.6364946,79.14759405,19.36332492,105.8761322,89.92337366,104.3292309,-120.4360288,152.1739894,114.0736927,64.76580372,80.02232662,-179.9274916,-163.7598723,-2.187804988,250.0748614
CAP0130,10.946443,23.38017426,24.65923346,7.031672523,808.3344122,-10.7715856,12.80951595,-277.421822,29.9778286,-11.39706396,35.80151921,11.63806905,-309.2197389,-355.3899669,-239.6172722,-10.49728696,-11.09988204,-280.4147939,-16.97779262,-317.5233507,-7.562261859,-9.718279109,-26.35951715,-683.1075259,-3.028636448,-205.3526907,4.669320763,-17.45470117,-5.875171525,-26.72302274,-70.31202606,45.13477792,3.082867937,86.22906084,44.48715327,26.07751828,-143.2494369,-8.500377179,45.29511124,5.52831113,-83.67380478,19.38246344,59.48534006,-276.7835181,80.24488508,-34.86815744,36.68153852,-13.78100227,151.7100037,57.24888154,11.8256112,-72.29677946,22.94733507,-81.26349752,-453.621004,-322.9213472,53.42842742,-113.5388297,-200.9367819,45.83250973,15.624321,13.68100432,-85.75410945,-190.3008407,-30.35383168,-30.88618678,-285.1602939,-482.1536929,108.1545611,-28.49187853,366.9710225,-145.310665,278.5509323,-266.312875,210.0373035,-352.6791329,45.34129609,13.63797568,72.64738341,148.1591667,69.28537576,184.500294,99.55727373,75.65401535,-174.6462842,-278.9721789,46.74031919,74.1769588,96.92635155,-262.9241078,-153.1295094,-73.49777026,177.6963193
CAP0131,17.53079311,18.35584373,19.13766027,7.335213584,1215.135594,-15.91785289,-4.573152906,-215.1934017,14.25493999,9.876554399,25.67559796,23.04859769,-429.5942482,-6.880428836,-148.9991615,-12.29517931,2.697226383,136.1480884,-1.213390691,-252.9810335,-9.164613751,-16.05533985,7.016854726,240.0394411,-12.66704554,-150.2809812,2.230113342,-43.43029524,-12.20035787,-32.81924007,-90.8247467,52.8923727,8.040726713,76.12781623,84.61586197,34.72303782,-19.61487192,-149.5828822,-33.21960995,-8.19610156,-45.01838644,71.51378622,120.62189,-371.7642402,73.30618534,-20.46174144,163.8033097,163.1461354,-37.08209912,-15.40366626,37.11317513,-142.5958192,52.33917414,-209.6243513,-614.7671655,171.0164547,-64.76598237,-66.69303165,-98.64675603,124.7143047,-4.25427779,-93.13286095,-257.6434962,-135.6479415,-24.05890954,28.87957515,-73.52680732,98.12381417,178.3274398,-90.91967429,459.6079362,-214.7613282,-90.7420433,-118.7451133,-210.7829099,-230.8748349,89.52966802,-165.4628094,122.4174043,-20.60783828,85.1724676,-184.5445918,271.7654804,108.2911169,-104.4143912,-29.99552301,-42.66747745,172.4635876,-39.11608314,-106.0197172,-46.42895522,-107.7675518,251.4023999
CAP0132,4.046684904,13.38426785,-0.690546448,10.80282319,1056.238966,22.03932223,-11.04416018,-205.0545691,3.476848907,-25.18159903,3.830946823,-0.328198635,-110.9370462,-202.974173,-153.127429,-12.61868651,44.54445313,96.21337581,11.4965727,-235.7745324,9.747030702,18.20321552,29.20482891,-51.84335756,-38.02883718,5.587278699,-26.33313459,52.29399109,-16.30282457,55.67165559,-37.58652617,47.14680745,1.197924638,-33.78635943,70.56034135,-154.3258624,-91.43454952,-185.0379985,76.90380536,12.36537771,49.15133787,88.17262168,-49.91528519,-283.6380348,-381.1406252,111.0590401,97.61655835,160.8008949,-14.38799933,-175.8736772,56.06295025,251.1368862,14.69810587,144.4524908,-85.68596381,184.2954392,77.84202011,-67.85832704,88.57860672,203.6764226,-53.00355315,53.02679034,467.2552315,18.94102998,-128.5239041,-72.28960093,24.70442046,-35.19145219,-89.06410611,121.0369135,40.72730277,-207.7091536,-240.2882797,-548.2605659,-142.0387554,113.3241638,84.7990455,156.3938059,-76.47827746,79.27650807,-21.82142372,-105.3962447,-178.9414257,-11.1011982,-307.9254018,196.657989,61.63576678,130.9130954,96.79594236,57.77049993,-219.1735535,95.29583401,6.37674364
CAP0133,1.987700304,3.958547499,2.093142637,0.525908573,1143.325004,21.29757354,20.73395946,-73.88787933,9.28838299,10.30337674,27.88885706,-8.94162146,-130.7147768,276.5882593,8.115194951,-2.921241163,28.790323,-10.44442273,11.86684122,134.7623749,26.90672868,30.65367109,31.37577314,-542.1763867,-5.621616559,77.69301004,-9.787187119,40.73912538,18.3264397,59.57393463,88.66729747,70.95658021,-2.916583146,-56.44267801,5.848165989,-12.04962664,-55.72206808,-37.03309556,-59.48787244,-36.23367574,114.2390131,120.0990432,-6.197253375,-17.81276816,-247.0382354,9.696582432,16.92633087,7.483266592,198.23259,12.0099692,-46.28837556,206.3081744,-5.420160189,57.12201135,220.7874293,156.2876112,-103.8793542,-97.24279992,76.61176025,-15.83404384,96.73277743,212.1753643,144.0302845,146.6159693,-1.80636212,6.844591499,55.71012198,-0.290702023,-183.3577335,33.80683086,-178.1458227,16.95413204,-269.0144498,98.36335137,53.39015017,261.6889187,98.01075673,326.1264281,-144.0868236,-9.750143084,-22.77101438,-66.57286777,141.3162957,-76.6131933,-273.1931757,88.25993381,378.0100838,-146.4251659,-74.05878157,-0.00358239,-81.66692356,49.85976382,198.4297443
CAP0134,11.72154682,24.99085168,15.41763919,11.18830444,961.9325582,1.79274011,20.76451832,-41.91715754,17.6524822,-21.28052503,-6.251601653,2.266700559,-351.6074629,29.80691939,-179.2971837,-17.99149393,39.00079892,214.1231329,-5.467420622,-313.3638388,-17.04771829,-27.05943839,22.29134067,-340.1948703,3.781476998,-153.9325172,-3.400664573,-5.633744177,-15.2439604,16.00210491,-191.0157122,33.4354441,-5.08037483,11.85594692,109.5129219,72.10443707,-58.7286101,-161.0877801,136.8069933,49.92161573,-16.50842074,-16.71181262,76.08691439,-229.962354,148.9476631,-98.14752318,97.24053263,76.48217254,-215.7789161,128.8336277,68.64523088,-205.9594514,6.046004182,66.73347511,-693.9209989,184.7756367,69.86981238,-68.79722321,83.16036757,174.9640514,72.70233443,46.77670232,-166.6953554,-128.4507334,-82.41452523,-51.05008231,-112.8651094,-4.506303566,147.067731,87.49491163,166.2856355,-312.4762106,-32.35829342,-61.1074822,-150.3666829,208.0240569,39.3842281,-272.0512259,6.71363787,68.01604823,11.31258686,39.12046421,173.5769577,87.51004887,-125.8997227,137.1830598,-84.41682552,71.1445076,169.8699672,-124.7764116,-355.5935325,-137.760893,-17.49157295
CAP0203,0.385010704,7.494372097,4.155783742,2.997811086,886.3221548,4.007973134,10.60470061,-244.4958194,10.48354309,-3.097348204,9.828860083,-7.95043943,-292.254853,-116.5791474,-33.95508292,-2.352018921,16.45644879,-61.99466927,22.85977928,-253.7947076,3.970382099,31.56271927,0.521149663,-1137.660494,7.495460967,-115.3648969,-8.63967053,1.339733796,5.095273866,7.855834079,21.04575087,55.37457214,3.580877657,-48.28917626,-15.48196943,-33.67059164,-147.966101,-193.2340856,81.39238042,-7.501569489,13.02938284,122.4197863,-88.68193252,-357.3766605,-154.0642143,85.68769812,-77.93470885,-10.53094987,-80.16182183,-18.00049924,-54.49446168,78.34756847,-15.93463598,135.4501554,110.6860872,39.49324751,-108.565881,-6.198833142,91.13118337,38.11979996,-18.18152558,-4.323317566,223.7090273,-9.796020473,-40.92169223,-63.50122032,-351.25022,67.14181599,-41.45363963,114.9905499,-94.93619291,-25.07141826,-388.1099145,172.0960235,-130.9260062,54.35690041,-17.6142083,120.1544992,-8.524667939,70.83719796,-55.09336593,-99.55462232,57.69263207,-77.3289108,-238.9099136,-20.23625289,133.4869028,23.70854151,33.41730712,-59.99072271,-175.0589835,113.2054245,-27.30601831
CAP0204,3.215411631,-10.87466181,5.082325759,5.052778089,630.5235175,34.45572948,-21.95367326,-195.2246267,-10.48043367,-8.69509408,12.43688274,13.07888086,-275.4515058,50.26294189,101.0422544,-9.051629059,48.53551335,-376.2120305,-0.817820045,13.54099365,17.36479145,32.43394551,43.05152931,-731.2054293,-23.47130629,172.6569668,-24.98755671,72.9680773,15.43213459,75.04186836,108.9556463,4.5934533,-2.698775794,-22.89096783,-160.2505792,-79.2121306,-71.27377357,-131.9823806,30.81745479,-50.47488998,-14.93668248,14.29990724,-122.4874236,29.10742631,-427.8275767,98.90571731,101.5699549,171.2580661,-332.6507872,-110.0417548,-172.0318495,172.4826732,-65.19604418,53.61321886,-66.14178526,175.2706332,-72.46750143,-79.35234404,8.408887971,-87.39706566,-39.74953934,154.3742966,269.2619678,-108.5922979,-110.9038162,-180.3996201,106.181948,-39.92985687,-190.8036388,-130.3725694,-543.1978146,-53.23034374,-261.315261,84.79767646,10.0485815,-27.01777596,-21.92897649,303.984322,-90.35883139,-52.43205223,-21.66881803,-122.8285174,-213.2586383,-42.81575258,-344.6222358,46.62746419,314.1483884,-16.59302569,-56.15345277,-124.6447162,-131.0675463,37.77371256,-62.3732108
